Year,State,Sex,Age,Uncontrolled_Direct Costs,Uncontrolled_Indirect Costs,Uncontrolled_QALYs_Lost
24,US,Female,25 to 29 years,744688646,1837959197,38299
24,US,Female,30 to 34 years,702013861,1732590228,36104
24,US,Female,35 to 39 years,661579445,1632752650,34024
24,US,Female,40 to 44 years,618605090,1526649229,31813
24,US,Female,45 to 49 years,645715709,1593505787,33207
24,US,Female,50 to 54 years,664199817,1639066913,34157
24,US,Female,55 to 59 years,660826052,1630684064,33983
24,US,Female,60 to 64 years,581543156,1434988577,29905
24,US,Female,65 to 69 years,496573660,1225273568,25535
24,US,Female,70 to 74 years,347070924,0,17847
24,US,Female,75 to 79 years,247581747,0,12730
24,US,Female,80 to 84 years,177507284,0,9127
24,US,Female,85 and over,208112719,0,10700
24,US,Female,Total,8198167635,17812947279,421603
24,US,Male,15 to 19 years,649146564,1602548436,33391
24,US,Male,20 to 24 years,675648633,1667934402,34753
24,US,Male,25 to 29 years,668729419,1650810616,34397
24,US,Male,30 to 34 years,616283199,1521300412,31699
24,US,Male,35 to 39 years,569450244,1405650379,29289
24,US,Male,40 to 44 years,523743145,1292783433,26938
24,US,Male,45 to 49 years,542353691,1338674283,27894
24,US,Male,50 to 54 years,546913232,1349878322,28128
24,US,Male,55 to 59 years,530708121,1309829470,27294
24,US,Male,60 to 64 years,450838774,1112658941,23186
24,US,Male,65 to 69 years,373999689,922980988,19233
24,US,Male,70 to 74 years,250124201,0,12863
24,US,Male,75 to 79 years,166145236,0,8544
24,US,Male,80 to 84 years,106422874,0,5472
24,US,Male,85 and over,92700151,0,4767
24,US,Male,Total,6763207172,15175049682,347848
25,US,Female,15 to 19 years,711348866,1755753537,36586
25,US,Female,20 to 24 years,736742452,1818390749,37891
25,US,Female,25 to 29 years,747756828,1845532684,38457
25,US,Female,30 to 34 years,704906216,1739729513,36253
25,US,Female,35 to 39 years,664305203,1639480528,34164
25,US,Female,40 to 44 years,621153786,1532939883,31944
25,US,Female,45 to 49 years,648376099,1600071908,33344
25,US,Female,50 to 54 years,666936359,1645820750,34298
25,US,Female,55 to 59 years,663548690,1637403339,34123
25,US,Female,60 to 64 years,583939141,1440901464,30028
25,US,Female,65 to 69 years,498619564,1230322304,25640
25,US,Female,70 to 74 years,348500868,0,17920
25,US,Female,75 to 79 years,248601791,0,12783
25,US,Female,80 to 84 years,178238618,0,9165
25,US,Female,85 and over,208970145,0,10744
25,US,Female,Total,8231944627,17886346659,423340
25,US,Male,15 to 19 years,651821090,1609151933,33528
25,US,Male,20 to 24 years,678432344,1674807310,34897
25,US,Male,25 to 29 years,671484617,1657612943,34539
25,US,Male,30 to 34 years,618822311,1527569060,31829
25,US,Male,35 to 39 years,571796398,1411442463,29410
25,US,Male,40 to 44 years,525900980,1298110423,27049
25,US,Male,45 to 49 years,544588198,1344190349,28009
25,US,Male,50 to 54 years,549166520,1355440536,28244
25,US,Male,55 to 59 years,532894639,1315226641,27407
25,US,Male,60 to 64 years,452696227,1117243651,23281
25,US,Male,65 to 69 years,375540562,926784115,19313
25,US,Male,70 to 74 years,251154707,0,12916
25,US,Male,75 to 79 years,166829749,0,8579
25,US,Male,80 to 84 years,106861332,0,5495
25,US,Male,85 and over,93082071,0,4786
25,US,Male,Total,6791071747,15237579423,349281
26,US,Female,15 to 19 years,712319709,1758149426,36636
26,US,Female,20 to 24 years,737747937,1820872086,37943
26,US,Female,25 to 29 years,748777329,1848051029,38510
26,US,Female,30 to 34 years,705868220,1742103454,36302
26,US,Female,35 to 39 years,665211781,1641717645,34211
26,US,Female,40 to 44 years,622001459,1535031593,31988
26,US,Female,45 to 49 years,649260903,1602255189,33389
26,US,Female,50 to 54 years,667846472,1648066420,34345
26,US,Female,55 to 59 years,664454158,1639637486,34169
26,US,Female,60 to 64 years,584735956,1442867460,30069
26,US,Female,65 to 69 years,499299938,1232000950,25675
26,US,Female,70 to 74 years,348976390,0,17945
26,US,Female,75 to 79 years,248940993,0,12800
26,US,Female,80 to 84 years,178481807,0,9177
26,US,Female,85 and over,209255250,0,10759
26,US,Female,Total,8243178302,17910752737,423918
26,US,Male,15 to 19 years,652710701,1611347871,33574
26,US,Male,20 to 24 years,679358256,1677092818,34944
26,US,Male,25 to 29 years,672401030,1659874960,34586
26,US,Male,30 to 34 years,619666835,1529653588,31873
26,US,Male,35 to 39 years,572576729,1413368497,29450
26,US,Male,40 to 44 years,526618661,1299881780,27086
26,US,Male,45 to 49 years,545331363,1346024557,28048
26,US,Male,50 to 54 years,549915914,1357290064,28283
26,US,Male,55 to 59 years,533621810,1317021267,27444
26,US,Male,60 to 64 years,453313944,1118768101,23313
26,US,Male,65 to 69 years,376052984,928048665,19339
26,US,Male,70 to 74 years,251497396,0,12933
26,US,Male,75 to 79 years,167057373,0,8591
26,US,Male,80 to 84 years,107007130,0,5502
26,US,Male,85 and over,93209063,0,4793
26,US,Male,Total,6800339189,15258372168,349758
27,US,Female,15 to 19 years,713291945,1760548752,36686
27,US,Female,20 to 24 years,738754865,1823356982,37995
27,US,Female,25 to 29 years,749799294,1850572987,38562
27,US,Female,30 to 34 years,706831604,1744480801,36352
27,US,Female,35 to 39 years,666119660,1643957972,34258
27,US,Female,40 to 44 years,622850348,1537126305,32032
27,US,Female,45 to 49 years,650146977,1604441602,33435
27,US,Female,50 to 54 years,668757890,1650315311,34391
27,US,Female,55 to 59 years,665360926,1641874838,34216
27,US,Female,60 to 64 years,585533914,1444836277,30110
27,US,Female,65 to 69 years,499981288,1233682005,25710
27,US,Female,70 to 74 years,349452594,0,17969
27,US,Female,75 to 79 years,249280681,0,12818
27,US,Female,80 to 84 years,178725344,0,9190
27,US,Female,85 and over,209540764,0,10774
27,US,Female,Total,8254428093,17935193831,424497
27,US,Male,15 to 19 years,653601587,1613546961,33620
27,US,Male,20 to 24 years,680285498,1679381607,34992
27,US,Male,25 to 29 years,673318757,1662140222,34633
27,US,Male,30 to 34 years,620512572,1531741108,31916
27,US,Male,35 to 39 years,573358178,1415297295,29490
27,US,Male,40 to 44 years,527337371,1301655678,27123
27,US,Male,45 to 49 years,546075594,1347861396,28086
27,US,Male,50 to 54 years,550666383,1359142247,28321
27,US,Male,55 to 59 years,534350023,1318818467,27481
27,US,Male,60 to 64 years,453932548,1120294739,23345
27,US,Male,65 to 69 years,376566141,929315028,19366
27,US,Male,70 to 74 years,251840576,0,12951
27,US,Male,75 to 79 years,167285324,0,8602
27,US,Male,80 to 84 years,107153138,0,5510
27,US,Male,85 and over,93336239,0,4799
27,US,Male,Total,6809619929,15279194749,350236
28,US,Female,15 to 19 years,714265576,1762951522,36736
28,US,Female,20 to 24 years,739763237,1825845445,38047
28,US,Female,25 to 29 years,750822726,1853098564,38615
28,US,Female,30 to 34 years,707796371,1746861559,36402
28,US,Female,35 to 39 years,667028841,1646201514,34304
28,US,Female,40 to 44 years,623700455,1539224022,32076
28,US,Female,45 to 49 years,651034322,1606631152,33481
28,US,Female,50 to 54 years,669670615,1652567428,34438
28,US,Female,55 to 59 years,666268994,1644115400,34263
28,US,Female,60 to 64 years,586333017,1446807918,30151
28,US,Female,65 to 69 years,500663616,1235365472,25745
28,US,Female,70 to 74 years,349929481,0,17994
28,US,Female,75 to 79 years,249620857,0,12835
28,US,Female,80 to 84 years,178969230,0,9202
28,US,Female,85 and over,209826686,0,10788
28,US,Female,Total,8265694025,17959669995,425077
28,US,Male,15 to 19 years,654493753,1615749207,33666
28,US,Male,20 to 24 years,681214069,1681673680,35040
28,US,Male,25 to 29 years,674237802,1664408735,34680
28,US,Male,30 to 34 years,621359521,1533831622,31960
28,US,Male,35 to 39 years,574140749,1417228861,29531
28,US,Male,40 to 44 years,528057112,1303432122,27160
28,US,Male,45 to 49 years,546820892,1349700872,28124
28,US,Male,50 to 54 years,551417929,1360997087,28360
28,US,Male,55 to 59 years,535079282,1320618246,27519
28,US,Male,60 to 64 years,454552040,1121823568,23377
28,US,Male,65 to 69 years,377080035,930583209,19392
28,US,Male,70 to 74 years,252184248,0,12969
28,US,Male,75 to 79 years,167513602,0,8614
28,US,Male,80 to 84 years,107299354,0,5517
28,US,Male,85 and over,93463595,0,4806
28,US,Male,Total,6818913985,15300047210,350714
29,US,Female,15 to 19 years,715240604,1765357740,36786
29,US,Female,20 to 24 years,740773057,1828337479,38099
29,US,Female,25 to 29 years,751847626,1855627765,38668
29,US,Female,30 to 34 years,708762522,1749245733,36451
29,US,Female,35 to 39 years,667939328,1648448275,34351
29,US,Female,40 to 44 years,624551782,1541324749,32119
29,US,Female,45 to 49 years,651922940,1608823844,33526
29,US,Female,50 to 54 years,670584651,1654822778,34485
29,US,Female,55 to 59 years,667178365,1646359177,34310
29,US,Female,60 to 64 years,587133266,1448782389,30193
29,US,Female,65 to 69 years,501346922,1237051354,25780
29,US,Female,70 to 74 years,350407052,0,18018
29,US,Female,75 to 79 years,249961521,0,12853
29,US,Female,80 to 84 years,179213467,0,9215
29,US,Female,85 and over,210113019,0,10803
29,US,Female,Total,8276976121,17984181281,425658
29,US,Male,15 to 19 years,655387198,1617954614,33712
29,US,Male,20 to 24 years,682143974,1683969043,35088
29,US,Male,25 to 29 years,675158165,1666680504,34728
29,US,Male,30 to 34 years,622207686,1535925137,32004
29,US,Male,35 to 39 years,574924443,1419163198,29571
29,US,Male,40 to 44 years,528777887,1305211116,27197
29,US,Male,45 to 49 years,547567261,1351542987,28163
29,US,Male,50 to 54 years,552170553,1362854590,28399
29,US,Male,55 to 59 years,535809587,1322420608,27557
29,US,Male,60 to 64 years,455172420,1123354590,23409
29,US,Male,65 to 69 years,377594665,931853210,19418
29,US,Male,70 to 74 years,252528414,0,12986
29,US,Male,75 to 79 years,167742207,0,8626
29,US,Male,80 to 84 years,107445781,0,5525
29,US,Male,85 and over,93591135,0,4812
29,US,Male,Total,6828221376,15320929597,351193
30,US,Female,15 to 19 years,716217032,1767767411,36836
30,US,Female,20 to 24 years,741784325,1830833089,38151
30,US,Female,25 to 29 years,752873996,1858160596,38721
30,US,Female,30 to 34 years,709730059,1751633329,36501
30,US,Female,35 to 39 years,668851120,1650698260,34398
30,US,Female,40 to 44 years,625404330,1543428491,32163
30,US,Female,45 to 49 years,652812833,1611019682,33572
30,US,Female,50 to 54 years,671499997,1657081363,34533
30,US,Female,55 to 59 years,668089041,1648606174,34356
30,US,Female,60 to 64 years,587934663,1450759693,30234
30,US,Female,65 to 69 years,502031209,1238739655,25816
30,US,Female,70 to 74 years,350885308,0,18043
30,US,Female,75 to 79 years,250302673,0,12870
30,US,Female,80 to 84 years,179458053,0,9227
30,US,Female,85 and over,210399762,0,10818
30,US,Female,Total,8288274405,18008727743,426239
30,US,Male,15 to 19 years,656281926,1620163186,33758
30,US,Male,20 to 24 years,683075213,1686267700,35136
30,US,Male,25 to 29 years,676079850,1668955534,34775
30,US,Male,30 to 34 years,623057069,1538021657,32047
30,US,Male,35 to 39 years,575709262,1421100312,29611
30,US,Male,40 to 44 years,529499695,1306992663,27234
30,US,Male,45 to 49 years,548314700,1353387745,28201
30,US,Male,50 to 54 years,552924257,1364714757,28438
30,US,Male,55 to 59 years,536540940,1324225556,27594
30,US,Male,60 to 64 years,455793690,1124887809,23441
30,US,Male,65 to 69 years,378110034,933125033,19445
30,US,Male,70 to 74 years,252873073,0,13004
30,US,Male,75 to 79 years,167971141,0,8638
30,US,Male,80 to 84 years,107592417,0,5533
30,US,Male,85 and over,93718858,0,4819
30,US,Male,Total,6837542125,15341841953,351673
31,US,Female,15 to 19 years,716607655,1768734125,36856
31,US,Female,20 to 24 years,742188892,1831834299,38172
31,US,Female,25 to 29 years,753284610,1859176759,38742
31,US,Female,30 to 34 years,710117141,1752591244,36521
31,US,Female,35 to 39 years,669215906,1651600983,34417
31,US,Female,40 to 44 years,625745419,1544272557,32181
31,US,Female,45 to 49 years,653168868,1611900720,33591
31,US,Female,50 to 54 years,671866221,1657987598,34551
31,US,Female,55 to 59 years,668453402,1649507781,34375
31,US,Female,60 to 64 years,588255307,1451553106,30250
31,US,Female,65 to 69 years,502305001,1239417120,25830
31,US,Female,70 to 74 years,351076668,0,18053
31,US,Female,75 to 79 years,250439178,0,12878
31,US,Female,80 to 84 years,179555921,0,9232
31,US,Female,85 and over,210514502,0,10824
31,US,Female,Total,8292794691,18018576291,426472
31,US,Male,15 to 19 years,656639685,1621049048,33776
31,US,Male,20 to 24 years,683447571,1687189709,35155
31,US,Male,25 to 29 years,676448387,1669868079,34794
31,US,Male,30 to 34 years,623396695,1538862613,32065
31,US,Male,35 to 39 years,576023072,1421877340,29628
31,US,Male,40 to 44 years,529788310,1307707300,27249
31,US,Male,45 to 49 years,548613563,1354127752,28217
31,US,Male,50 to 54 years,553225626,1365460959,28453
31,US,Male,55 to 59 years,536833371,1324949621,27609
31,US,Male,60 to 64 years,456042105,1125502881,23454
31,US,Male,65 to 69 years,378316105,933635254,19456
31,US,Male,70 to 74 years,253010886,0,13011
31,US,Male,75 to 79 years,168062680,0,8642
31,US,Male,80 to 84 years,107651051,0,5536
31,US,Male,85 and over,93769928,0,4822
31,US,Male,Total,6841269035,15350230556,351865
32,US,Female,15 to 19 years,716998615,1769701671,36877
32,US,Female,20 to 24 years,742593808,1832836371,38192
32,US,Female,25 to 29 years,753695578,1860193796,38763
32,US,Female,30 to 34 years,710504557,1753549983,36541
32,US,Female,35 to 39 years,669581006,1652504483,34436
32,US,Female,40 to 44 years,626086801,1545117351,32198
32,US,Female,45 to 49 years,653525210,1612782516,33609
32,US,Female,50 to 54 years,672232761,1658894613,34570
32,US,Female,55 to 59 years,668818077,1650410164,34394
32,US,Female,60 to 64 years,588576228,1452347202,30267
32,US,Female,65 to 69 years,502579030,1240095169,25844
32,US,Female,70 to 74 years,351268193,0,18063
32,US,Female,75 to 79 years,250575800,0,12885
32,US,Female,80 to 84 years,179653873,0,9238
32,US,Female,85 and over,210629341,0,10830
32,US,Female,Total,8297318880,18028433319,426706
32,US,Male,15 to 19 years,656997754,1621935673,33795
32,US,Male,20 to 24 years,683820250,1688112511,35174
32,US,Male,25 to 29 years,676817242,1670781410,34813
32,US,Male,30 to 34 years,623736615,1539704293,32082
32,US,Male,35 to 39 years,576337153,1422655037,29644
32,US,Male,40 to 44 years,530077175,1308422553,27264
32,US,Male,45 to 49 years,548912685,1354868396,28232
32,US,Male,50 to 54 years,553527254,1366207804,28469
32,US,Male,55 to 59 years,537126054,1325674310,27624
32,US,Male,60 to 64 years,456290734,1126118483,23466
32,US,Male,65 to 69 years,378522353,934145914,19466
32,US,Male,70 to 74 years,253148817,0,13018
32,US,Male,75 to 79 years,168154299,0,8647
32,US,Male,80 to 84 years,107709734,0,5539
32,US,Male,85 and over,93821043,0,4824
32,US,Male,Total,6844999164,15358626384,352058
33,US,Female,15 to 19 years,717389912,1770670050,36897
33,US,Female,20 to 24 years,742999073,1833839305,38213
33,US,Female,25 to 29 years,754106902,1861211710,38784
33,US,Female,30 to 34 years,710892308,1754509547,36561
33,US,Female,35 to 39 years,669946422,1653408762,34455
33,US,Female,40 to 44 years,626428479,1545962872,32216
33,US,Female,45 to 49 years,653881859,1613665071,33627
33,US,Female,50 to 54 years,672599618,1659802410,34589
33,US,Female,55 to 59 years,669183068,1651313324,34413
33,US,Female,60 to 64 years,588897425,1453141982,30283
33,US,Female,65 to 69 years,502853295,1240773802,25858
33,US,Female,70 to 74 years,351459884,0,18073
33,US,Female,75 to 79 years,250712540,0,12892
33,US,Female,80 to 84 years,179751910,0,9243
33,US,Female,85 and over,210744279,0,10836
33,US,Female,Total,8301846975,18038298836,426940
33,US,Male,15 to 19 years,657356132,1622823061,33813
33,US,Male,20 to 24 years,684193252,1689036109,35193
33,US,Male,25 to 29 years,677186416,1671695528,34832
33,US,Male,30 to 34 years,624076829,1540546698,32100
33,US,Male,35 to 39 years,576651506,1423433403,29660
33,US,Male,40 to 44 years,530366289,1309138422,27279
33,US,Male,45 to 49 years,549212065,1355609678,28247
33,US,Male,50 to 54 years,553829143,1366955292,28484
33,US,Male,55 to 59 years,537418991,1326399623,27640
33,US,Male,60 to 64 years,456539578,1126734615,23479
33,US,Male,65 to 69 years,378728780,934657014,19477
33,US,Male,70 to 74 years,253286867,0,13025
33,US,Male,75 to 79 years,168245996,0,8652
33,US,Male,80 to 84 years,107768469,0,5542
33,US,Male,85 and over,93872201,0,4827
33,US,Male,Total,6848732514,15367029442,352251
34,US,Female,15 to 19 years,717781548,1771639264,36917
34,US,Female,20 to 24 years,743404689,1834843104,38234
34,US,Female,25 to 29 years,754518580,1862230500,38805
34,US,Female,30 to 34 years,711280394,1755469938,36581
34,US,Female,35 to 39 years,670312153,1654313819,34474
34,US,Female,40 to 44 years,626770452,1546809121,32234
34,US,Female,45 to 49 years,654238817,1614548387,33646
34,US,Female,50 to 54 years,672966791,1660710988,34608
34,US,Female,55 to 59 years,669548373,1652217263,34432
34,US,Female,60 to 64 years,589218901,1453937446,30300
34,US,Female,65 to 69 years,503127796,1241453020,25872
34,US,Female,70 to 74 years,351651740,0,18082
34,US,Female,75 to 79 years,250849399,0,12899
34,US,Female,80 to 84 years,179850032,0,9248
34,US,Female,85 and over,210859316,0,10842
34,US,Female,Total,8306378981,18048172850,427173
34,US,Male,15 to 19 years,657714819,1623711214,33832
34,US,Male,20 to 24 years,684566576,1689960502,35213
34,US,Male,25 to 29 years,677555909,1672610433,34851
34,US,Male,30 to 34 years,624417336,1541389828,32118
34,US,Male,35 to 39 years,576966130,1424212440,29676
34,US,Male,40 to 44 years,530655653,1309854907,27294
34,US,Male,45 to 49 years,549511703,1356351599,28263
34,US,Male,50 to 54 years,554131293,1367703423,28500
34,US,Male,55 to 59 years,537712180,1327125560,27655
34,US,Male,60 to 64 years,456788637,1127351277,23492
34,US,Male,65 to 69 years,378935384,935168554,19488
34,US,Male,70 to 74 years,253425037,0,13033
34,US,Male,75 to 79 years,168337773,0,8657
34,US,Male,80 to 84 years,107827254,0,5545
34,US,Male,85 and over,93923405,0,4829
34,US,Male,Total,6852469089,15375439739,352444
35,US,Female,15 to 19 years,718173522,1772609312,36937
35,US,Female,20 to 24 years,743810654,1835847767,38255
35,US,Female,25 to 29 years,754930614,1863250167,38827
35,US,Female,30 to 34 years,711668815,1756431157,36601
35,US,Female,35 to 39 years,670678200,1655219656,34492
35,US,Female,40 to 44 years,627112720,1547656099,32251
35,US,Female,45 to 49 years,654596083,1615432464,33664
35,US,Female,50 to 54 years,673334282,1661620349,34627
35,US,Female,55 to 59 years,669913994,1653121980,34451
35,US,Female,60 to 64 years,589540654,1454733596,30317
35,US,Female,65 to 69 years,503402535,1242132822,25886
35,US,Female,70 to 74 years,351843762,0,18092
35,US,Female,75 to 79 years,250986375,0,12906
35,US,Female,80 to 84 years,179948238,0,9253
35,US,Female,85 and over,210974453,0,10847
35,US,Female,Total,8310914902,18058055368,427407
35,US,Male,15 to 19 years,658073816,1624600132,33850
35,US,Male,20 to 24 years,684940222,1690885692,35232
35,US,Male,25 to 29 years,677925721,1673526126,34870
35,US,Male,30 to 34 years,624758137,1542233685,32135
35,US,Male,35 to 39 years,577281025,1424992148,29693
35,US,Male,40 to 44 years,530945266,1310572010,27309
35,US,Male,45 to 49 years,549811601,1357094159,28278
35,US,Male,50 to 54 years,554433704,1368452200,28515
35,US,Male,55 to 59 years,538005623,1327852123,27670
